2, 123456789012,eni-n8ygmwnn, 185.144.92.110, 255.35.60.234, 3526, icmp, 6, 22, 2000, 1620140671, 1620140801, REJECT, OK
2, 123456789012,eni-p6tf5n6v, 22.57.63.84, 54.197.105.40, 20156, icmp, 6, 10, 5000, 1620140661, 1620140723, ACCEPT, OK
2, 123456789012,eni-38ttn89b, 219.151.81.187, 70.218.195.42, 44302, udp, 1, 9, 20000, 1620140698, 1620140810, REJECT, OK
2, 123456789012,eni-oiumas7b, 2.225.104.117, 115.127.139.24, 18491, tcp, 17, 25, 4000, 1620140673, 1620140754, REJECT, OK
2, 123456789012,eni-9mpkx03j, 171.122.88.150, 255.168.211.99, 47540, tcp, 1, 12, 21000, 1620140722, 1620140747, ACCEPT, OK
2, 123456789012,eni-4s5t9g10, 30.237.123.230, 247.247.43.203, 11589, tcp, 17, 12, 5000, 1620140676, 1620140740, REJECT, OK
2, 123456789012,eni-u3u20d75, 126.182.73.217, 123.86.76.162, 21718, udp, 6, 8, 19000, 1620140677, 1620140798, REJECT, OK
2, 123456789012,eni-b1xf0z5t, 92.127.1.185, 28.110.9.181, 5821, udp, 6, 24, 7000, 1620140750, 1620140764, ACCEPT, OK
2, 123456789012,eni-iraq0acy, 15.203.203.143, 175.109.25.228, 49771, udp, 17, 9, 22000, 1620140664, 1620140746, REJECT, OK
2, 123456789012,eni-jk0omage, 31.156.172.25, 188.155.249.42, 15713, udp, 1, 15, 3000, 1620140732, 1620140759, ACCEPT, OK
2, 123456789012,eni-vupeas5u, 210.225.132.204, 154.229.50.186, 58672, icmp, 6, 8, 14000, 1620140666, 1620140768, REJECT, OK
2, 123456789012,eni-akvaz05f, 244.32.224.42, 192.227.76.181, 30877, tcp, 17, 19, 19000, 1620140685, 1620140804, REJECT, OK
2, 123456789012,eni-7zoad2zw, 68.231.221.48, 133.185.35.120, 20311, udp, 1, 6, 17000, 1620140706, 1620140752, ACCEPT, OK
2, 123456789012,eni-m2aa9dp6, 78.76.57.43, 196.159.174.107, 38445, udp, 6, 11, 18000, 1620140699, 1620140784, ACCEPT, OK
2, 123456789012,eni-32ugzamb, 137.217.235.173, 141.80.223.159, 1582, icmp, 1, 5, 15000, 1620140698, 1620140755, REJECT, OK
2, 123456789012,eni-mquumtpp, 212.68.27.54, 54.104.34.152, 2088, tcp, 1, 24, 3000, 1620140694, 1620140797, ACCEPT, OK
2, 123456789012,eni-z2c9r9bk, 149.87.73.92, 80.50.170.144, 60162, tcp, 17, 10, 20000, 1620140736, 1620140782, REJECT, OK
2, 123456789012,eni-p0wmza1c, 185.26.146.194, 126.193.74.218, 5880, icmp, 6, 16, 9000, 1620140693, 1620140751, REJECT, OK
2, 123456789012,eni-ujitof7u, 54.17.9.61, 222.202.10.193, 42597, udp, 1, 7, 12000, 1620140708, 1620140756, ACCEPT, OK
2, 123456789012,eni-b4qydi7p, 205.146.30.36, 110.178.126.246, 15984, udp, 1, 20, 6000, 1620140678, 1620140766, REJECT, OK
2, 123456789012,eni-90wfl0i6, 6.145.99.119, 58.87.164.231, 3092, udp, 6, 1, 5000, 1620140711, 1620140785, REJECT, OK
2, 123456789012,eni-jb2x7ojf, 60.192.93.158, 52.144.93.44, 30730, tcp, 1, 22, 10000, 1620140720, 1620140780, REJECT, OK
2, 123456789012,eni-3y36dk4z, 216.213.81.122, 60.194.0.66, 48200, icmp, 6, 1, 22000, 1620140748, 1620140782, REJECT, OK
2, 123456789012,eni-kl7nn6kr, 247.225.244.56, 216.76.95.200, 41215, udp, 17, 4, 6000, 1620140716, 1620140809, ACCEPT, OK
2, 123456789012,eni-6yidsgjl, 183.227.8.97, 91.28.161.184, 39435, tcp, 6, 6, 3000, 1620140740, 1620140784, ACCEPT, OK
2, 123456789012,eni-7jvrw8vh, 180.194.237.215, 252.87.237.125, 60944, udp, 17, 21, 11000, 1620140747, 1620140816, REJECT, OK
2, 123456789012,eni-l6wuhvv3, 55.223.141.55, 242.0.114.62, 31496, icmp, 1, 13, 17000, 1620140728, 1620140757, REJECT, OK
2, 123456789012,eni-4hhbee1h, 76.8.145.214, 119.238.245.134, 29513, icmp, 1, 16, 10000, 1620140715, 1620140726, REJECT, OK
2, 123456789012,eni-trbf5zey, 212.99.223.62, 163.122.99.200, 5284, icmp, 6, 10, 4000, 1620140680, 1620140774, ACCEPT, OK
2, 123456789012,eni-r9ak3v78, 14.119.141.79, 70.151.219.61, 6921, icmp, 6, 9, 17000, 1620140760, 1620140799, ACCEPT, OK
2, 123456789012,eni-3jxnapi5, 218.111.64.18, 132.239.65.7, 34301, tcp, 17, 22, 17000, 1620140669, 1620140790, REJECT, OK
2, 123456789012,eni-tv4nwkvv, 233.43.227.168, 3.33.89.245, 4721, tcp, 1, 2, 18000, 1620140712, 1620140784, ACCEPT, OK
2, 123456789012,eni-wkh02yih, 158.84.179.192, 114.234.155.99, 19131, tcp, 1, 24, 20000, 1620140687, 1620140782, REJECT, OK
2, 123456789012,eni-4xtbltsv, 174.32.205.190, 244.124.228.46, 35390, icmp, 6, 25, 17000, 1620140700, 1620140768, ACCEPT, OK
2, 123456789012,eni-9641xlje, 238.180.45.70, 32.173.59.60, 43305, udp, 1, 17, 21000, 1620140683, 1620140768, REJECT, OK
2, 123456789012,eni-frixmrnp, 182.192.190.6, 79.53.103.229, 12522, tcp, 17, 15, 24000, 1620140718, 1620140751, REJECT, OK
2, 123456789012,eni-fjm8537r, 56.233.2.254, 172.100.108.89, 48089, tcp, 17, 10, 4000, 1620140708, 1620140819, ACCEPT, OK
2, 123456789012,eni-suupyf9g, 65.136.131.13, 217.56.245.166, 4653, icmp, 6, 12, 1000, 1620140704, 1620140804, ACCEPT, OK
2, 123456789012,eni-lfh9pkad, 94.166.85.114, 87.64.22.120, 53369, icmp, 17, 5, 2000, 1620140683, 1620140774, ACCEPT, OK
2, 123456789012,eni-grhfrvvm, 2.213.80.168, 79.225.212.144, 13059, icmp, 1, 20, 6000, 1620140720, 1620140813, ACCEPT, OK
2, 123456789012,eni-f5x97x0p, 240.86.8.9, 28.8.60.126, 19152, icmp, 1, 24, 3000, 1620140712, 1620140764, REJECT, OK
2, 123456789012,eni-vswbp9tv, 74.251.41.202, 12.233.179.49, 20537, icmp, 17, 14, 10000, 1620140755, 1620140729, REJECT, OK
2, 123456789012,eni-hr16l6bq, 50.55.150.43, 79.223.148.208, 33353, icmp, 6, 4, 24000, 1620140760, 1620140725, REJECT, OK
2, 123456789012,eni-03r62hmg, 84.9.194.99, 17.81.151.146, 12981, icmp, 6, 22, 6000, 1620140681, 1620140795, REJECT, OK
2, 123456789012,eni-h6yc3frj, 95.233.216.166, 27.8.106.176, 56289, tcp, 6, 2, 6000, 1620140735, 1620140791, ACCEPT, OK
2, 123456789012,eni-slxfkvlc, 173.235.195.12, 230.35.204.69, 19660, tcp, 17, 7, 13000, 1620140751, 1620140805, ACCEPT, OK
2, 123456789012,eni-zenp2aaj, 184.132.178.196, 25.226.188.208, 7922, tcp, 17, 23, 16000, 1620140661, 1620140736, ACCEPT, OK
2, 123456789012,eni-wnnfl9ev, 156.36.214.254, 118.227.173.46, 55619, udp, 1, 4, 12000, 1620140735, 1620140821, ACCEPT, OK
2, 123456789012,eni-w8tlce1s, 8.161.217.198, 74.102.156.70, 5743, icmp, 17, 20, 2000, 1620140746, 1620140808, REJECT, OK
2, 123456789012,eni-n79g2dfu, 243.46.206.247, 87.69.24.239, 6156, udp, 17, 7, 8000, 1620140693, 1620140805, ACCEPT, OK
2, 123456789012,eni-y7v9pgyw, 130.238.236.183, 6.64.115.2, 5560, tcp, 17, 11, 25000, 1620140754, 1620140732, ACCEPT, OK
2, 123456789012,eni-z32flzar, 114.68.108.32, 172.148.182.248, 48324, icmp, 6, 19, 9000, 1620140701, 1620140772, REJECT, OK
2, 123456789012,eni-99b1pa5s, 214.224.7.46, 238.125.14.227, 21359, udp, 1, 23, 19000, 1620140716, 1620140730, ACCEPT, OK
2, 123456789012,eni-2gwiljzo, 54.214.127.129, 120.58.108.184, 44463, icmp, 1, 14, 15000, 1620140679, 1620140821, ACCEPT, OK
2, 123456789012,eni-h9tgsu0e, 144.14.164.108, 193.98.144.181, 47912, icmp, 6, 21, 10000, 1620140670, 1620140731, REJECT, OK
2, 123456789012,eni-lopg78qm, 43.30.17.123, 133.240.186.69, 61597, udp, 6, 20, 7000, 1620140742, 1620140802, ACCEPT, OK
2, 123456789012,eni-7di4106h, 6.34.124.67, 17.193.193.240, 16660, icmp, 6, 12, 24000, 1620140731, 1620140802, ACCEPT, OK
2, 123456789012,eni-tuj3wn6d, 111.136.251.110, 225.21.24.103, 55611, udp, 17, 15, 23000, 1620140749, 1620140816, REJECT, OK
2, 123456789012,eni-rrbpcnkb, 146.140.197.54, 93.157.27.28, 30528, tcp, 1, 24, 13000, 1620140700, 1620140754, ACCEPT, OK
2, 123456789012,eni-9dm9po07, 191.161.95.69, 252.7.240.87, 20047, udp, 1, 24, 19000, 1620140683, 1620140799, REJECT, OK
2, 123456789012,eni-jk9nbtu0, 145.32.215.50, 38.195.207.14, 23943, tcp, 6, 21, 17000, 1620140722, 1620140733, REJECT, OK
2, 123456789012,eni-tt1ocjqs, 59.91.236.219, 209.29.173.103, 14504, icmp, 1, 14, 14000, 1620140668, 1620140750, ACCEPT, OK
2, 123456789012,eni-buoli29q, 100.88.35.109, 168.19.116.50, 16728, udp, 1, 9, 2000, 1620140733, 1620140739, ACCEPT, OK
2, 123456789012,eni-ajgb44gn, 188.172.249.119, 144.163.141.62, 34994, icmp, 1, 21, 22000, 1620140698, 1620140731, ACCEPT, OK
2, 123456789012,eni-sanxmb30, 156.232.22.81, 109.202.10.140, 57586, udp, 6, 19, 7000, 1620140732, 1620140766, REJECT, OK
2, 123456789012,eni-qs30g4oj, 214.138.154.181, 180.164.199.111, 49298, tcp, 1, 5, 24000, 1620140692, 1620140790, REJECT, OK
2, 123456789012,eni-xofkx26o, 15.212.24.76, 120.3.146.107, 34275, icmp, 6, 22, 2000, 1620140758, 1620140807, REJECT, OK
2, 123456789012,eni-hct0f30l, 17.113.87.45, 73.100.35.183, 26839, icmp, 6, 2, 11000, 1620140709, 1620140752, REJECT, OK
2, 123456789012,eni-k5j08djw, 191.186.210.56, 206.193.232.10, 20889, tcp, 17, 23, 19000, 1620140704, 1620140761, ACCEPT, OK
2, 123456789012,eni-8p4jda4d, 126.219.247.153, 41.103.95.111, 61461, tcp, 6, 24, 14000, 1620140712, 1620140725, ACCEPT, OK
2, 123456789012,eni-rdi3gpft, 233.220.248.159, 112.28.119.181, 51774, icmp, 17, 8, 2000, 1620140720, 1620140749, REJECT, OK
2, 123456789012,eni-kx7l5s03, 209.105.229.124, 176.212.31.215, 41251, tcp, 1, 25, 22000, 1620140752, 1620140795, ACCEPT, OK
2, 123456789012,eni-nryctvlu, 99.86.66.134, 105.122.146.152, 47029, udp, 1, 4, 3000, 1620140664, 1620140770, REJECT, OK
2, 123456789012,eni-ldzkvtre, 75.30.94.56, 4.26.255.48, 49989, icmp, 1, 3, 3000, 1620140691, 1620140756, ACCEPT, OK
2, 123456789012,eni-rpal1eli, 223.131.9.119, 64.201.110.147, 16490, icmp, 17, 17, 21000, 1620140732, 1620140760, REJECT, OK
2, 123456789012,eni-i4802ta5, 247.152.119.146, 7.249.229.58, 60734, icmp, 1, 7, 16000, 1620140675, 1620140762, ACCEPT, OK
2, 123456789012,eni-jf0q6ao1, 15.184.31.177, 229.42.27.164, 4045, tcp, 6, 19, 9000, 1620140748, 1620140768, ACCEPT, OK
2, 123456789012,eni-2y6hwjlk, 223.182.9.177, 38.54.188.18, 36724, tcp, 17, 4, 14000, 1620140684, 1620140794, REJECT, OK
2, 123456789012,eni-wm95516w, 245.234.34.71, 29.155.255.106, 61271, udp, 6, 10, 24000, 1620140748, 1620140726, ACCEPT, OK
2, 123456789012,eni-sf6no4do, 31.153.38.173, 145.254.84.76, 54281, tcp, 6, 22, 19000, 1620140755, 1620140805, REJECT, OK
2, 123456789012,eni-e1q727rl, 199.231.161.98, 6.158.87.174, 36973, udp, 1, 13, 2000, 1620140696, 1620140777, REJECT, OK
2, 123456789012,eni-2lny7gmb, 196.70.207.211, 66.125.190.160, 52636, udp, 17, 5, 18000, 1620140675, 1620140723, REJECT, OK
2, 123456789012,eni-2hh4mxq4, 56.155.227.148, 196.147.92.195, 22064, tcp, 1, 16, 23000, 1620140717, 1620140751, ACCEPT, OK
2, 123456789012,eni-sjnv8swr, 138.60.203.95, 121.171.6.46, 64521, icmp, 1, 23, 3000, 1620140759, 1620140812, ACCEPT, OK
2, 123456789012,eni-fnbd205p, 127.0.178.81, 20.122.193.114, 17436, icmp, 17, 6, 14000, 1620140690, 1620140779, ACCEPT, OK
2, 123456789012,eni-wdy4fdcp, 8.179.181.187, 199.88.48.2, 19547, udp, 1, 8, 15000, 1620140726, 1620140727, REJECT, OK
2, 123456789012,eni-hq0571r1, 63.21.255.7, 46.232.207.23, 20978, tcp, 6, 4, 1000, 1620140697, 1620140791, REJECT, OK
2, 123456789012,eni-532kzewq, 187.133.217.61, 40.150.226.235, 57732, icmp, 1, 7, 14000, 1620140698, 1620140795, REJECT, OK
2, 123456789012,eni-gb5tavcs, 225.42.32.161, 89.167.245.218, 3974, udp, 6, 5, 4000, 1620140752, 1620140778, ACCEPT, OK
2, 123456789012,eni-4hbd8o46, 195.36.235.23, 12.84.71.52, 7748, icmp, 17, 7, 25000, 1620140739, 1620140811, REJECT, OK
2, 123456789012,eni-ogg10xwh, 99.174.72.92, 120.28.234.77, 63316, tcp, 1, 14, 23000, 1620140744, 1620140733, ACCEPT, OK
2, 123456789012,eni-ysut3j60, 145.144.192.153, 188.228.79.102, 62225, icmp, 6, 1, 9000, 1620140746, 1620140774, REJECT, OK
2, 123456789012,eni-hsd7brvf, 41.14.241.220, 55.178.211.20, 58445, udp, 6, 9, 14000, 1620140742, 1620140795, ACCEPT, OK
2, 123456789012,eni-468g9at0, 214.246.190.21, 24.214.231.141, 11385, udp, 1, 23, 16000, 1620140684, 1620140802, REJECT, OK
2, 123456789012,eni-su55gg1o, 151.175.229.152, 119.193.163.201, 44728, icmp, 1, 14, 22000, 1620140702, 1620140760, ACCEPT, OK
2, 123456789012,eni-6pj5hnkl, 170.211.77.4, 9.121.162.47, 55583, icmp, 1, 22, 15000, 1620140729, 1620140763, ACCEPT, OK
2, 123456789012,eni-vjmwktpj, 145.223.165.135, 214.194.247.70, 48676, icmp, 17, 8, 12000, 1620140689, 1620140724, ACCEPT, OK
2, 123456789012,eni-4y3j6xpt, 18.11.104.185, 165.0.100.149, 26419, udp, 1, 13, 16000, 1620140707, 1620140731, ACCEPT, OK
2, 123456789012,eni-um72j3x7, 202.88.47.162, 190.100.241.65, 57736, icmp, 6, 13, 8000, 1620140748, 1620140726, REJECT, OK
2, 123456789012,eni-8w0c67st, 160.149.247.82, 103.254.4.172, 48732, tcp, 1, 7, 25000, 1620140710, 1620140791, REJECT, OK
2, 123456789012,eni-4uw3ihlk, 104.82.216.174, 161.131.252.7, 52675, udp, 17, 5, 25000, 1620140736, 1620140816, ACCEPT, OK
2, 123456789012,eni-9jim5eyz, 121.234.176.14, 47.58.120.244, 7181, tcp, 6, 9, 24000, 1620140712, 1620140779, REJECT, OK
2, 123456789012,eni-rb790xvx, 86.209.114.195, 116.163.234.27, 37028, udp, 17, 22, 22000, 1620140692, 1620140750, REJECT, OK
2, 123456789012,eni-ij5fzuis, 162.194.220.143, 254.100.1.10, 22806, icmp, 6, 21, 4000, 1620140700, 1620140777, ACCEPT, OK
2, 123456789012,eni-w9l7cbmx, 109.222.238.4, 150.155.166.89, 40173, udp, 17, 1, 4000, 1620140662, 1620140746, ACCEPT, OK
2, 123456789012,eni-fbzuidnq, 52.118.22.27, 196.53.108.141, 47382, udp, 17, 13, 16000, 1620140757, 1620140732, ACCEPT, OK
2, 123456789012,eni-khg968i6, 222.95.109.70, 141.79.56.111, 61224, tcp, 17, 22, 12000, 1620140688, 1620140756, REJECT, OK
2, 123456789012,eni-i1dpnc0z, 75.48.225.25, 207.146.179.201, 13699, udp, 1, 4, 3000, 1620140723, 1620140774, REJECT, OK
2, 123456789012,eni-ha07ajm0, 203.54.148.2, 22.152.51.77, 51848, tcp, 1, 4, 1000, 1620140761, 1620140788, ACCEPT, OK
2, 123456789012,eni-s5yx06sk, 22.152.76.184, 78.103.183.82, 26279, udp, 6, 11, 13000, 1620140662, 1620140731, ACCEPT, OK
2, 123456789012,eni-yj6ve6fc, 46.93.231.75, 245.183.112.64, 7789, udp, 1, 20, 19000, 1620140723, 1620140748, ACCEPT, OK
2, 123456789012,eni-8yukei8e, 136.16.159.109, 54.11.164.85, 29682, udp, 1, 2, 14000, 1620140738, 1620140788, REJECT, OK
2, 123456789012,eni-gs3ahunz, 222.254.53.50, 240.130.152.18, 23762, udp, 6, 21, 3000, 1620140684, 1620140788, ACCEPT, OK
2, 123456789012,eni-4ltz3t0t, 83.163.69.195, 42.19.3.84, 43528, udp, 6, 21, 13000, 1620140732, 1620140784, REJECT, OK
2, 123456789012,eni-w9ucub40, 80.91.197.66, 249.176.208.55, 23939, icmp, 17, 6, 5000, 1620140692, 1620140761, ACCEPT, OK
2, 123456789012,eni-7lm2qx3e, 240.80.27.67, 235.78.166.78, 6938, icmp, 17, 18, 15000, 1620140736, 1620140763, REJECT, OK
2, 123456789012,eni-plc9fb3e, 111.234.205.237, 158.76.64.172, 27003, tcp, 17, 15, 16000, 1620140673, 1620140726, REJECT, OK
2, 123456789012,eni-1tlzjp1p, 118.241.25.73, 71.158.245.179, 9856, tcp, 17, 24, 23000, 1620140759, 1620140805, REJECT, OK
2, 123456789012,eni-isxkbase, 208.113.161.9, 98.163.216.91, 13801, icmp, 1, 21, 16000, 1620140685, 1620140758, REJECT, OK
2, 123456789012,eni-jxkgufr3, 240.169.239.6, 238.254.245.234, 4367, icmp, 17, 9, 20000, 1620140693, 1620140734, REJECT, OK
2, 123456789012,eni-tso3ge4y, 220.226.12.158, 33.2.27.239, 11004, icmp, 6, 17, 16000, 1620140732, 1620140763, ACCEPT, OK
2, 123456789012,eni-sjhsxhc9, 61.145.163.103, 204.102.225.92, 9149, udp, 17, 13, 16000, 1620140671, 1620140801, ACCEPT, OK
2, 123456789012,eni-aumm0ozp, 54.73.179.242, 117.102.212.26, 3181, icmp, 6, 16, 10000, 1620140709, 1620140809, REJECT, OK
2, 123456789012,eni-7e3rjiu5, 232.121.48.26, 25.161.149.123, 62752, icmp, 17, 17, 19000, 1620140718, 1620140768, REJECT, OK
2, 123456789012,eni-z624x55o, 51.7.60.237, 109.70.116.246, 41079, icmp, 1, 14, 22000, 1620140751, 1620140806, REJECT, OK
2, 123456789012,eni-5hb0dzi3, 132.163.54.114, 119.195.60.75, 21655, icmp, 6, 3, 2000, 1620140757, 1620140815, REJECT, OK
2, 123456789012,eni-wabpmzdw, 238.108.81.38, 130.78.158.136, 11023, udp, 1, 16, 3000, 1620140676, 1620140760, REJECT, OK
2, 123456789012,eni-97lif6c7, 49.147.169.52, 128.26.87.39, 8213, udp, 17, 3, 5000, 1620140670, 1620140746, REJECT, OK
2, 123456789012,eni-d6wp8dzl, 73.233.123.146, 43.102.228.80, 53895, tcp, 6, 1, 17000, 1620140732, 1620140813, REJECT, OK
2, 123456789012,eni-rw2x9sib, 25.163.52.224, 177.193.174.59, 428, udp, 6, 18, 4000, 1620140700, 1620140810, REJECT, OK
2, 123456789012,eni-obxnbumb, 5.66.202.196, 94.12.140.67, 52131, icmp, 1, 9, 23000, 1620140735, 1620140818, REJECT, OK
