dstport,protocol,tag
3526,icmp,dc_t162
20156,icmp,dc_t418
44302,udp,dc_t629
18491,tcp,dc_t014
47540,tcp,dc_t008
11589,tcp,dc_t002
21718,udp,dc_t184
5821,udp,dc_t412
49771,udp,dc_t188
15713,udp,dc_t241
58672,icmp,dc_t387
30877,tcp,dc_t364
20311,udp,dc_t469
38445,udp,dc_t337
1582,icmp,dc_t250
2088,tcp,dc_t492
60162,tcp,dc_t504
5880,icmp,dc_t986
42597,udp,dc_t482
15984,udp,dc_t750
3092,udp,dc_t584
30730,tcp,dc_t924
48200,icmp,dc_t443
41215,udp,dc_t733
39435,tcp,dc_t257
60944,udp,dc_t183
31496,icmp,dc_t676
29513,icmp,dc_t354
5284,icmp,dc_t817
6921,icmp,dc_t533
34301,tcp,dc_t594
4721,tcp,dc_t766
19131,tcp,dc_t655
35390,icmp,dc_t289
43305,udp,dc_t084
12522,tcp,dc_t522
48089,tcp,dc_t697
4653,icmp,dc_t299
53369,icmp,dc_t239
13059,icmp,dc_t636
19152,icmp,dc_t720
20537,icmp,dc_t737
33353,icmp,dc_t629
12981,icmp,dc_t851
56289,tcp,dc_t332
19660,tcp,dc_t545
7922,tcp,dc_t596
55619,udp,dc_t434
5743,icmp,dc_t610
6156,udp,dc_t717
5560,tcp,dc_t158
48324,icmp,dc_t957
21359,udp,dc_t351
44463,icmp,dc_t484
47912,icmp,dc_t959
61597,udp,dc_t621
16660,icmp,dc_t520
55611,udp,dc_t484
30528,tcp,dc_t360
20047,udp,dc_t655
23943,tcp,dc_t935
14504,icmp,dc_t533
16728,udp,dc_t335
34994,icmp,dc_t669
57586,udp,dc_t033
49298,tcp,dc_t007
34275,icmp,dc_t303
26839,icmp,dc_t857
20889,tcp,dc_t475
61461,tcp,dc_t457
51774,icmp,dc_t149
41251,tcp,dc_t676
47029,udp,dc_t192
49989,icmp,dc_t699
16490,icmp,dc_t472
60734,icmp,dc_t355
4045,tcp,dc_t983
36724,tcp,dc_t486
61271,udp,dc_t984
54281,tcp,dc_t587
36973,udp,dc_t688
52636,udp,dc_t594
22064,tcp,dc_t899
64521,icmp,dc_t465
17436,icmp,dc_t975
19547,udp,dc_t022
20978,tcp,dc_t387
57732,icmp,dc_t128
3974,udp,dc_t387
7748,icmp,dc_t681
63316,tcp,dc_t938
62225,icmp,dc_t227
58445,udp,dc_t702
11385,udp,dc_t864
44728,icmp,dc_t798
55583,icmp,dc_t398
48676,icmp,dc_t750
26419,udp,dc_t335
57736,icmp,dc_t017
48732,tcp,dc_t606
52675,udp,dc_t783
7181,tcp,dc_t079
37028,udp,dc_t428
22806,icmp,dc_t441
40173,udp,dc_t347
47382,udp,dc_t242
61224,tcp,dc_t494
13699,udp,dc_t912
51848,tcp,dc_t049
26279,udp,dc_t508
7789,udp,dc_t242
29682,udp,dc_t171
23762,udp,dc_t601
43528,udp,dc_t569
23939,icmp,dc_t498
6938,icmp,dc_t831
27003,tcp,dc_t330
9856,tcp,dc_t910
13801,icmp,dc_t845
4367,icmp,dc_t987
11004,icmp,dc_t061
9149,udp,dc_t870
3181,icmp,dc_t063
62752,icmp,dc_t966
41079,icmp,dc_t514
21655,icmp,dc_t476
11023,udp,dc_t266
8213,udp,dc_t929
53895,tcp,dc_t550
428,udp,dc_t412
52131,icmp,dc_t236
31706,icmp,dc_t468
21580,tcp,dc_t759
44709,icmp,dc_t540
59262,icmp,dc_t689
25723,tcp,dc_t605
53280,udp,dc_t744
29932,tcp,dc_t914
64658,icmp,dc_t598
37522,icmp,dc_t641
49986,icmp,dc_t904
2144,icmp,dc_t940
52306,tcp,dc_t380
51162,icmp,dc_t095
14287,udp,dc_t339
49070,tcp,dc_t146
27573,tcp,dc_t904
39162,icmp,dc_t387
45281,udp,dc_t751
7411,udp,dc_t621
11670,udp,dc_t691
3854,udp,dc_t050
24510,udp,dc_t836
33299,tcp,dc_t854
42893,udp,dc_t477
41567,tcp,dc_t239
42102,tcp,dc_t115
54995,udp,dc_t707
58933,tcp,dc_t056
202,udp,dc_t119
16245,udp,dc_t930
15513,icmp,dc_t720
35857,icmp,dc_t104
13277,tcp,dc_t689
63632,udp,dc_t297
45140,icmp,dc_t666
63090,icmp,dc_t295
48818,udp,dc_t811
12730,tcp,dc_t695
33550,tcp,dc_t653
55291,udp,dc_t781
19775,icmp,dc_t869
20732,udp,dc_t453
54806,icmp,dc_t642
16212,udp,dc_t855
64986,udp,dc_t866
62065,icmp,dc_t821
37558,tcp,dc_t069
9488,tcp,dc_t674
25077,udp,dc_t924
21376,icmp,dc_t258
5329,udp,dc_t380
9973,udp,dc_t526
27048,udp,dc_t943
20454,icmp,dc_t397
51534,tcp,dc_t390
11523,icmp,dc_t254
15487,icmp,dc_t851
10386,icmp,dc_t910
9988,icmp,dc_t989
41746,udp,dc_t853
