Tag,Count
dc_t188,4
dc_t250,1
dc_t733,5
dc_t257,4
dc_t183,2
dc_t676,4
dc_t354,1
dc_t636,7
dc_t720,6
dc_t332,6
dc_t717,5
dc_t484,4
dc_t935,8
dc_t533,4
dc_t669,5
dc_t457,4
dc_t699,4
dc_t355,5
dc_t983,2
dc_t587,3
dc_t594,1
dc_t465,4
dc_t387,6
dc_t128,1
dc_t798,8
dc_t398,4
dc_t783,5
dc_t079,5
dc_t428,7
dc_t347,4
dc_t242,5
dc_t845,5
dc_t870,6
dc_t514,2
dc_t929,5
dc_t550,4
dc_t236,4
dc_t759,5
dc_t744,5
dc_t641,3
dc_t904,4
dc_t751,4
dc_t050,9
dc_t836,2
dc_t239,3
dc_t930,6
dc_t689,4
dc_t297,3
dc_t666,3
dc_t295,4
dc_t781,3
dc_t642,3
dc_t866,5
dc_t821,6
dc_t674,9
dc_t380,3
dc_t397,6
dc_t390,4
dc_t254,2
dc_t989,5
dc_t152,3
dc_t654,3
dc_t797,4
dc_t680,3
dc_t889,3
dc_t586,10
dc_t627,5
dc_t068,4
dc_t610,4
dc_t529,9
dc_t427,4
dc_t577,4
dc_t381,6
dc_t589,3
dc_t800,4
dc_t293,4
dc_t551,2
dc_t448,3
dc_t209,6
dc_t718,2
dc_t938,4
dc_t678,9
dc_t657,4
dc_t957,5
dc_t569,7
dc_t555,4
dc_t119,3
dc_t562,4
dc_t668,3
dc_t905,5
dc_t776,2
dc_t694,4
dc_t830,5
dc_t770,4
dc_t649,2
dc_t578,5
dc_t985,4
dc_t921,8
dc_t274,2
dc_t967,4
dc_t648,6
dc_t238,4
dc_t420,3
dc_t838,2
dc_t433,2
dc_t834,9
dc_t754,4
dc_t367,7
dc_t312,2
dc_t233,4
dc_t116,4
dc_t670,5
dc_t199,1
dc_t140,5
dc_t373,5
dc_t806,4
dc_t082,3
dc_t940,8
dc_t379,1
dc_t224,2
dc_t045,1
dc_t436,3
dc_t801,8
dc_t328,4
dc_t180,6
dc_t616,4
dc_t010,2
dc_t087,3
dc_t031,3
dc_t822,5
dc_t758,4
dc_t213,3
dc_t972,3
dc_t499,7
dc_t007,4
dc_t077,7
dc_t796,8
dc_t122,3
dc_t153,7
dc_t736,3
dc_t478,5
dc_t597,6
dc_t973,7
dc_t991,2
dc_t888,2
dc_t558,3
dc_t223,5
dc_t539,4
dc_t843,2
dc_t906,5
dc_t852,6
dc_t590,2
dc_t339,3
dc_t512,3
dc_t785,4
dc_t910,4
dc_t813,4
dc_t565,10
dc_t982,3
dc_t414,6
dc_t146,4
dc_t764,5
dc_t359,5
dc_t110,7
dc_t564,3
dc_t277,4
dc_t384,3
dc_t615,6
dc_t988,2
dc_t831,3
dc_t987,4
dc_t928,6
dc_t466,6
dc_t361,6
dc_t894,3
dc_t103,2
dc_t113,5
dc_t496,3
dc_t402,6
dc_t567,2
dc_t547,4
dc_t576,7
dc_t617,4
dc_t262,5
dc_t607,1
dc_t190,3
dc_t734,2
dc_t762,5
dc_t621,3
dc_t923,4
dc_t544,2
dc_t880,6
dc_t523,5
dc_t707,5
dc_t541,5
dc_t008,3
dc_t037,5
dc_t626,5
dc_t149,4
dc_t305,4
dc_t371,4
dc_t877,4
dc_t486,2
dc_t208,4
dc_t570,8
dc_t290,5
dc_t805,4
dc_t667,6
dc_t823,5
dc_t625,2
dc_t812,3
dc_t447,2
dc_t189,3
dc_t176,3
dc_t748,4
dc_t237,3
dc_t990,3
dc_t283,5
dc_t432,1
dc_t943,6
dc_t826,3
dc_t885,6
dc_t403,4
dc_t462,7
dc_t695,7
dc_t341,5
dc_t251,3
dc_t766,2
dc_t663,4
dc_t253,4
dc_t609,4
dc_t726,2
dc_t534,1
dc_t731,5
dc_t655,9
dc_t356,6
dc_t404,6
dc_t434,4
dc_t147,5
dc_t131,3
dc_t506,3
dc_t639,3
dc_t761,4
dc_t998,4
dc_t769,3
dc_t883,6
dc_t828,4
dc_t424,6
dc_t302,6
dc_t266,4
dc_t934,4
dc_t912,3
dc_t383,5
dc_t451,3
dc_t168,3
dc_t628,2
dc_t036,1
dc_t066,5
dc_t804,3
dc_t335,5
dc_t916,4
dc_t502,2
dc_t635,2
dc_t580,3
dc_t869,4
dc_t477,7
dc_t164,1
dc_t399,3
dc_t944,5
dc_t281,3
dc_t741,3
dc_t606,2
dc_t948,5
dc_t832,2
dc_t386,5
dc_t282,5
dc_t518,3
dc_t618,3
dc_t459,2
dc_t574,3
dc_t011,5
dc_t001,2
dc_t711,3
dc_t439,4
dc_t099,3
dc_t753,2
dc_t054,3
dc_t292,3
dc_t745,3
dc_t584,4
dc_t501,5
dc_t516,2
dc_t187,1
dc_t298,3
dc_t611,4
dc_t588,2
dc_t132,4
dc_t725,2
dc_t743,4
dc_t409,2
dc_t357,3
dc_t173,6
dc_t536,3
dc_t334,2
dc_t051,4
dc_t468,3
dc_t730,3
dc_t219,5
dc_t313,2
dc_t392,9
